自增ID,款式编码,商品编码,商品名称,颜色及规格,颜色,规格,基本售价,市场吊牌价,分类,商品属性,创建时间,季节,面料成份
181,SPU043,SPU043-粉色-XXL,训练外套经典款,粉色 修身,粉色,修身,208.0,454.0,运动,XXL,2025-02-02 12:14:51,冬季,丝
182,SPU043,SPU043-粉色-均码,训练外套经典款,粉色 短款,粉色,短款,154.0,650.0,运动,均码,2025-07-30 15:59:51,冬季,涤纶
183,SPU043,SPU043-粉色-M,训练外套经典款,粉色 短款,粉色,短款,160.0,736.0,运动,M,2025-02-02 02:36:30,冬季,混纺
184,SPU044,SPU044-橙色-M,风衣新款,橙色 短款,橙色,短款,167.0,301.0,童装,M,2023-11-22 06:52:25,秋冬,丝
185,SPU044,SPU044-橙色-S,风衣新款,橙色 修身,橙色,修身,234.0,454.0,童装,S,2025-01-20 02:34:09,秋冬,涤纶
186,SPU044,SPU044-橙色-均码,风衣新款,橙色 宽松,橙色,宽松,455.0,713.0,童装,均码,2025-08-02 12:32:28,秋冬,棉
187,SPU044,SPU044-橙色-M,风衣新款,橙色 修身,橙色,修身,238.0,636.0,童装,M,2024-04-20 07:08:47,秋冬,混纺
188,SPU044,SPU044-橙色-均码,风衣新款,橙色 修身,橙色,修身,107.0,124.0,童装,均码,2024-02-21 13:11:42,秋冬,麻
189,SPU045,SPU045-棕色-M,羽绒服秋冬款,棕色 修身,棕色,修身,110.0,707.0,童装,M,2025-02-22 21:45:59,夏季,麻
190,SPU045,SPU045-棕色-XXXL,羽绒服秋冬款,棕色 标准,棕色,标准,107.0,588.0,童装,XXXL,2024-11-03 19:09:44,夏季,涤纶
191,SPU045,SPU045-棕色-XL,羽绒服秋冬款,棕色 修身,棕色,修身,202.0,677.0,童装,XL,2025-05-09 10:15:13,夏季,丝
192,SPU046,SPU046-黄色-S,家居服经典款,黄色 修身,黄色,修身,83.0,745.0,内衣,S,2024-08-24 03:02:09,冬季,麻
193,SPU046,SPU046-黄色-XXXL,家居服经典款,黄色 加长,黄色,加长,383.0,405.0,内衣,XXXL,2025-08-25 06:47:56,冬季,麻
194,SPU046,SPU046-黄色-M,家居服经典款,黄色 宽松,黄色,宽松,376.0,513.0,内衣,M,2025-07-25 08:23:52,冬季,羊毛
195,SPU046,SPU046-黄色-S,家居服经典款,黄色 宽松,黄色,宽松,453.0,515.0,内衣,S,2023-12-24 06:46:03,冬季,丝
196,SPU046,SPU046-黄色-均码,家居服经典款,黄色 加长,黄色,加长,194.0,224.0,内衣,均码,2023-12-11 04:33:47,冬季,混纺
197,SPU047,SPU047-灰色-S,A字连衣裙夏季款,灰色 宽松,灰色,宽松,184.0,339.0,女装,S,2024-06-11 11:06:09,春季,羊毛
198,SPU047,SPU047-灰色-XXXL,A字连衣裙夏季款,灰色 标准,灰色,标准,195.0,323.0,女装,XXXL,2025-06-30 17:48:06,春季,涤纶
199,SPU047,SPU047-灰色-M,A字连衣裙夏季款,灰色 修身,灰色,修身,416.0,614.0,女装,M,2024-09-10 07:50:29,春季,混纺
200,SPU047,SPU047-灰色-L,A字连衣裙夏季款,灰色 加长,灰色,加长,284.0,503.0,女装,L,2025-01-13 14:20:18,春季,羊毛
201,SPU047,SPU047-灰色-XXL,A字连衣裙夏季款,灰色 修身,灰色,修身,206.0,216.0,女装,XXL,2025-04-02 01:27:30,春季,丝
202,SPU048,SPU048-绿色-均码,运动套装热卖款,绿色 宽松,绿色,宽松,448.0,302.0,童装,均码,2025-04-08 07:54:28,春夏,丝
203,SPU048,SPU048-绿色-S,运动套装热卖款,绿色 宽松,绿色,宽松,350.0,199.0,童装,S,2024-01-01 23:40:51,春夏,涤纶
204,SPU048,SPU048-绿色-M,运动套装热卖款,绿色 修身,绿色,修身,319.0,128.0,童装,M,2025-05-30 19:36:02,春夏,羊毛
205,SPU048,SPU048-绿色-L,运动套装热卖款,绿色 修身,绿色,修身,270.0,676.0,童装,L,2025-02-24 00:57:01,春夏,丝
206,SPU049,SPU049-灰色-XXXL,风衣新款,灰色 加长,灰色,加长,284.0,682.0,童装,XXXL,2024-06-29 22:46:53,夏季,丝
207,SPU049,SPU049-灰色-S,风衣新款,灰色 修身,灰色,修身,250.0,403.0,童装,S,2024-03-18 00:03:02,夏季,丝
208,SPU049,SPU049-灰色-S,风衣新款,灰色 宽松,灰色,宽松,497.0,612.0,童装,S,2024-12-14 07:22:14,夏季,棉
209,SPU050,SPU050-黑色-L,休闲裤热卖款,黑色 修身,黑色,修身,197.0,455.0,女装,L,2025-07-28 13:07:54,秋季,丝
210,SPU050,SPU050-黑色-均码,休闲裤热卖款,黑色 短款,黑色,短款,352.0,152.0,女装,均码,2024-02-05 09:38:22,秋季,混纺
211,SPU050,SPU050-黑色-XXL,休闲裤热卖款,黑色 修身,黑色,修身,245.0,753.0,女装,XXL,2025-07-13 20:39:56,秋季,羊毛
212,SPU050,SPU050-黑色-XXL,休闲裤热卖款,黑色 宽松,黑色,宽松,429.0,563.0,女装,XXL,2025-09-28 17:26:40,秋季,混纺
213,SPU051,SPU051-橙色-XS,短袖T恤夏季款,橙色 宽松,橙色,宽松,112.0,363.0,男装,XS,2024-05-14 23:29:21,冬季,涤纶
214,SPU051,SPU051-橙色-L,短袖T恤夏季款,橙色 标准,橙色,标准,262.0,439.0,男装,L,2024-08-02 15:53:57,冬季,涤纶
215,SPU051,SPU051-橙色-均码,短袖T恤夏季款,橙色 标准,橙色,标准,109.0,544.0,男装,均码,2024-09-09 11:42:21,冬季,棉
216,SPU052,SPU052-棕色-L,休闲衬衫热卖款,棕色 修身,棕色,修身,245.0,443.0,童装,L,2025-03-22 07:35:19,冬季,羊毛
217,SPU052,SPU052-棕色-L,休闲衬衫热卖款,棕色 宽松,棕色,宽松,67.0,582.0,童装,L,2023-12-01 21:03:03,冬季,羊毛
218,SPU052,SPU052-棕色-XXXL,休闲衬衫热卖款,棕色 短款,棕色,短款,156.0,344.0,童装,XXXL,2024-12-06 03:25:47,冬季,羊毛
219,SPU052,SPU052-棕色-M,休闲衬衫热卖款,棕色 标准,棕色,标准,428.0,713.0,童装,M,2024-02-27 16:12:11,冬季,混纺
220,SPU052,SPU052-棕色-均码,休闲衬衫热卖款,棕色 加长,棕色,加长,409.0,375.0,童装,均码,2025-10-08 14:25:39,冬季,丝
221,SPU053,SPU053-绿色-XL,风衣新款,绿色 修身,绿色,修身,149.0,774.0,女装,XL,2024-07-22 01:06:02,秋季,丝
222,SPU053,SPU053-绿色-XXXL,风衣新款,绿色 加长,绿色,加长,196.0,564.0,女装,XXXL,2025-05-09 02:31:14,秋季,棉
223,SPU053,SPU053-绿色-M,风衣新款,绿色 加长,绿色,加长,480.0,562.0,女装,M,2025-05-14 06:53:10,秋季,丝
224,SPU053,SPU053-绿色-XXXL,风衣新款,绿色 宽松,绿色,宽松,398.0,439.0,女装,XXXL,2024-07-01 21:48:24,秋季,麻
225,SPU053,SPU053-绿色-XXXL,风衣新款,绿色 宽松,绿色,宽松,63.0,288.0,女装,XXXL,2024-08-07 14:18:52,秋季,涤纶
226,SPU054,SPU054-红色-XXL,短裤夏季款,红色 标准,红色,标准,354.0,388.0,女装,XXL,2025-04-28 07:46:40,冬季,麻
227,SPU054,SPU054-红色-XXXL,短裤夏季款,红色 加长,红色,加长,167.0,138.0,女装,XXXL,2024-09-11 03:28:34,冬季,麻
228,SPU054,SPU054-红色-L,短裤夏季款,红色 标准,红色,标准,336.0,132.0,女装,L,2025-05-22 01:01:31,冬季,麻
229,SPU054,SPU054-红色-XXXL,短裤夏季款,红色 宽松,红色,宽松,308.0,217.0,女装,XXXL,2024-08-03 23:32:48,冬季,涤纶
230,SPU055,SPU055-黑色-XXL,风衣夏季款,黑色 宽松,黑色,宽松,322.0,114.0,女装,XXL,2025-08-17 08:11:00,春季,混纺
231,SPU055,SPU055-黑色-XS,风衣夏季款,黑色 加长,黑色,加长,91.0,593.0,女装,XS,2024-01-29 10:25:17,春季,丝
232,SPU055,SPU055-黑色-S,风衣夏季款,黑色 修身,黑色,修身,283.0,353.0,女装,S,2025-10-23 13:04:17,春季,涤纶
233,SPU055,SPU055-黑色-M,风衣夏季款,黑色 短款,黑色,短款,228.0,602.0,女装,M,2024-01-19 11:58:16,春季,丝
234,SPU055,SPU055-黑色-M,风衣夏季款,黑色 标准,黑色,标准,199.0,251.0,女装,M,2024-07-27 23:23:00,春季,混纺
235,SPU056,SPU056-红色-XS,运动长裤新款,红色 修身,红色,修身,390.0,469.0,运动,XS,2025-01-30 21:52:33,冬季,羊毛
236,SPU056,SPU056-红色-XXXL,运动长裤新款,红色 加长,红色,加长,69.0,298.0,运动,XXXL,2024-06-27 02:15:39,冬季,棉
237,SPU056,SPU056-红色-L,运动长裤新款,红色 宽松,红色,宽松,65.0,625.0,运动,L,2023-12-24 08:44:07,冬季,麻
238,SPU057,SPU057-米色-M,针织衫夏季款,米色 标准,米色,标准,438.0,154.0,童装,M,2025-10-06 04:38:36,秋季,羊毛
239,SPU057,SPU057-米色-XXXL,针织衫夏季款,米色 修身,米色,修身,57.0,681.0,童装,XXXL,2024-01-04 23:14:29,秋季,羊毛
240,SPU057,SPU057-米色-M,针织衫夏季款,米色 修身,米色,修身,381.0,655.0,童装,M,2025-01-02 00:34:21,秋季,涤纶
241,SPU057,SPU057-米色-XL,针织衫夏季款,米色 标准,米色,标准,241.0,620.0,童装,XL,2025-09-02 01:13:49,秋季,丝
242,SPU057,SPU057-米色-XL,针织衫夏季款,米色 加长,米色,加长,141.0,285.0,童装,XL,2024-11-05 12:01:31,秋季,混纺
243,SPU058,SPU058-绿色-XXXL,运动套装热卖款,绿色 标准,绿色,标准,243.0,256.0,童装,XXXL,2024-07-05 01:34:40,秋季,麻
244,SPU058,SPU058-绿色-XL,运动套装热卖款,绿色 加长,绿色,加长,178.0,592.0,童装,XL,2025-08-21 13:30:31,秋季,羊毛
245,SPU058,SPU058-绿色-L,运动套装热卖款,绿色 加长,绿色,加长,58.0,448.0,童装,L,2024-11-25 21:50:15,秋季,麻
246,SPU058,SPU058-绿色-XXL,运动套装热卖款,绿色 短款,绿色,短款,372.0,417.0,童装,XXL,2024-06-19 21:05:23,秋季,羊毛
247,SPU058,SPU058-绿色-XS,运动套装热卖款,绿色 加长,绿色,加长,397.0,413.0,童装,XS,2025-02-11 22:55:13,秋季,麻
248,SPU059,SPU059-黑色-XL,牛仔裤新款,黑色 标准,黑色,标准,115.0,541.0,童装,XL,2025-03-09 18:08:27,秋冬,棉
249,SPU059,SPU059-黑色-S,牛仔裤新款,黑色 短款,黑色,短款,126.0,705.0,童装,S,2025-05-20 15:47:03,秋冬,麻
250,SPU059,SPU059-黑色-L,牛仔裤新款,黑色 修身,黑色,修身,114.0,532.0,童装,L,2024-01-06 18:55:17,秋冬,麻
251,SPU059,SPU059-黑色-L,牛仔裤新款,黑色 修身,黑色,修身,395.0,276.0,童装,L,2024-11-03 17:48:28,秋冬,丝
252,SPU059,SPU059-黑色-XXL,牛仔裤新款,黑色 宽松,黑色,宽松,66.0,582.0,童装,XXL,2025-01-19 16:43:33,秋冬,羊毛
253,SPU060,SPU060-红色-XL,运动T恤热卖款,红色 宽松,红色,宽松,390.0,656.0,运动,XL,2024-06-08 19:54:15,秋冬,羊毛
254,SPU060,SPU060-红色-均码,运动T恤热卖款,红色 标准,红色,标准,482.0,265.0,运动,均码,2024-06-25 17:40:08,秋冬,麻
255,SPU060,SPU060-红色-均码,运动T恤热卖款,红色 短款,红色,短款,300.0,618.0,运动,均码,2024-08-03 22:00:43,秋冬,混纺
256,SPU060,SPU060-红色-S,运动T恤热卖款,红色 修身,红色,修身,242.0,154.0,运动,S,2024-01-24 10:42:13,秋冬,涤纶
257,SPU061,SPU061-白色-S,休闲裤夏季款,白色 宽松,白色,宽松,139.0,709.0,男装,S,2024-06-03 11:29:49,秋季,棉
258,SPU061,SPU061-白色-XS,休闲裤夏季款,白色 加长,白色,加长,273.0,538.0,男装,XS,2025-08-24 23:59:51,秋季,羊毛
259,SPU061,SPU061-白色-均码,休闲裤夏季款,白色 宽松,白色,宽松,387.0,483.0,男装,均码,2025-01-28 16:53:31,秋季,麻
260,SPU062,SPU062-灰色-S,套头卫衣热卖款,灰色 加长,灰色,加长,498.0,604.0,运动,S,2024-10-14 05:14:13,秋冬,混纺
261,SPU062,SPU062-灰色-XL,套头卫衣热卖款,灰色 短款,灰色,短款,195.0,723.0,运动,XL,2024-07-22 14:50:25,秋冬,羊毛
262,SPU062,SPU062-灰色-M,套头卫衣热卖款,灰色 宽松,灰色,宽松,181.0,580.0,运动,M,2025-02-14 14:11:10,秋冬,羊毛
263,SPU063,SPU063-粉色-XL,运动T恤秋冬款,粉色 加长,粉色,加长,258.0,755.0,运动,XL,2024-07-30 12:32:16,冬季,混纺
264,SPU063,SPU063-粉色-M,运动T恤秋冬款,粉色 宽松,粉色,宽松,286.0,681.0,运动,M,2025-10-18 00:25:52,冬季,棉
265,SPU063,SPU063-粉色-XXL,运动T恤秋冬款,粉色 加长,粉色,加长,131.0,429.0,运动,XXL,2023-12-04 13:38:09,冬季,棉
266,SPU063,SPU063-粉色-XL,运动T恤秋冬款,粉色 宽松,粉色,宽松,140.0,166.0,运动,XL,2024-10-17 03:14:36,冬季,麻
267,SPU063,SPU063-粉色-XXL,运动T恤秋冬款,粉色 修身,粉色,修身,77.0,428.0,运动,XXL,2024-11-25 19:46:11,冬季,涤纶
268,SPU064,SPU064-粉色-L,童装套装春季款,粉色 标准,粉色,标准,333.0,750.0,童装,L,2025-04-29 04:27:34,夏季,丝
269,SPU064,SPU064-粉色-XL,童装套装春季款,粉色 加长,粉色,加长,313.0,314.0,童装,XL,2024-12-21 00:52:45,夏季,羊毛
270,SPU064,SPU064-粉色-XXXL,童装套装春季款,粉色 标准,粉色,标准,303.0,549.0,童装,XXXL,2025-08-29 02:13:14,夏季,涤纶
271,SPU065,SPU065-黄色-M,休闲裤秋冬款,黄色 修身,黄色,修身,379.0,296.0,男装,M,2025-04-04 23:06:46,冬季,丝
272,SPU065,SPU065-黄色-S,休闲裤秋冬款,黄色 宽松,黄色,宽松,409.0,511.0,男装,S,2025-09-24 20:44:28,冬季,麻
273,SPU065,SPU065-黄色-XXL,休闲裤秋冬款,黄色 短款,黄色,短款,397.0,515.0,男装,XXL,2025-08-20 01:12:16,冬季,丝
274,SPU066,SPU066-黄色-均码,速干短裤秋冬款,黄色 宽松,黄色,宽松,126.0,648.0,运动,均码,2024-11-21 21:58:34,冬季,涤纶
275,SPU066,SPU066-黄色-S,速干短裤秋冬款,黄色 短款,黄色,短款,116.0,215.0,运动,S,2025-09-19 13:26:08,冬季,棉
276,SPU066,SPU066-黄色-XXL,速干短裤秋冬款,黄色 修身,黄色,修身,453.0,137.0,运动,XXL,2024-10-27 04:56:10,冬季,羊毛
277,SPU066,SPU066-黄色-均码,速干短裤秋冬款,黄色 加长,黄色,加长,349.0,329.0,运动,均码,2024-07-28 08:10:37,冬季,羊毛
278,SPU066,SPU066-黄色-S,速干短裤秋冬款,黄色 宽松,黄色,宽松,302.0,364.0,运动,S,2024-12-01 17:09:02,冬季,麻
279,SPU067,SPU067-绿色-XXL,开衫秋冬款,绿色 标准,绿色,标准,427.0,322.0,女装,XXL,2025-05-16 08:38:17,春夏,棉
280,SPU067,SPU067-绿色-L,开衫秋冬款,绿色 宽松,绿色,宽松,475.0,684.0,女装,L,2023-12-13 18:10:44,春夏,混纺
281,SPU067,SPU067-绿色-M,开衫秋冬款,绿色 加长,绿色,加长,302.0,443.0,女装,M,2024-03-17 20:22:57,春夏,丝
282,SPU067,SPU067-绿色-S,开衫秋冬款,绿色 短款,绿色,短款,455.0,556.0,女装,S,2024-07-16 05:49:38,春夏,涤纶
283,SPU067,SPU067-绿色-XS,开衫秋冬款,绿色 标准,绿色,标准,435.0,640.0,女装,XS,2025-01-27 19:21:42,春夏,丝
284,SPU068,SPU068-米色-L,休闲衬衫新款,米色 短款,米色,短款,302.0,799.0,男装,L,2023-12-30 10:52:39,夏季,涤纶
285,SPU068,SPU068-米色-XXXL,休闲衬衫新款,米色 标准,米色,标准,131.0,623.0,男装,XXXL,2024-01-27 02:06:46,夏季,棉
286,SPU068,SPU068-米色-L,休闲衬衫新款,米色 加长,米色,加长,212.0,236.0,男装,L,2023-12-21 05:12:44,夏季,羊毛
287,SPU068,SPU068-米色-XL,休闲衬衫新款,米色 标准,米色,标准,92.0,358.0,男装,XL,2024-06-06 19:48:56,夏季,丝
288,SPU068,SPU068-米色-XS,休闲衬衫新款,米色 短款,米色,短款,173.0,553.0,男装,XS,2025-10-30 04:39:20,夏季,混纺
289,SPU069,SPU069-米色-XS,休闲衬衫秋冬款,米色 标准,米色,标准,173.0,140.0,童装,XS,2024-11-15 12:39:47,秋季,羊毛
290,SPU069,SPU069-米色-XS,休闲衬衫秋冬款,米色 加长,米色,加长,499.0,543.0,童装,XS,2025-06-28 03:45:42,秋季,麻
291,SPU069,SPU069-米色-M,休闲衬衫秋冬款,米色 加长,米色,加长,387.0,553.0,童装,M,2024-02-23 21:21:45,秋季,羊毛
292,SPU069,SPU069-米色-S,休闲衬衫秋冬款,米色 修身,米色,修身,216.0,529.0,童装,S,2024-08-04 09:39:25,秋季,混纺
293,SPU070,SPU070-棕色-M,连帽卫衣春季款,棕色 宽松,棕色,宽松,87.0,684.0,运动,M,2024-05-11 16:49:40,秋冬,棉
294,SPU070,SPU070-棕色-XS,连帽卫衣春季款,棕色 加长,棕色,加长,337.0,144.0,运动,XS,2024-02-27 20:55:53,秋冬,棉
295,SPU070,SPU070-棕色-XL,连帽卫衣春季款,棕色 宽松,棕色,宽松,345.0,616.0,运动,XL,2024-12-09 13:55:53,秋冬,丝
296,SPU071,SPU071-粉色-M,家居服热卖款,粉色 短款,粉色,短款,375.0,356.0,内衣,M,2024-06-15 00:56:42,秋冬,棉
297,SPU071,SPU071-粉色-XXXL,家居服热卖款,粉色 加长,粉色,加长,427.0,569.0,内衣,XXXL,2023-12-19 11:17:37,秋冬,棉
298,SPU071,SPU071-粉色-L,家居服热卖款,粉色 短款,粉色,短款,116.0,287.0,内衣,L,2023-11-16 20:33:02,秋冬,涤纶
299,SPU071,SPU071-粉色-均码,家居服热卖款,粉色 修身,粉色,修身,174.0,239.0,内衣,均码,2024-06-24 15:31:23,秋冬,羊毛
300,SPU071,SPU071-粉色-XXXL,家居服热卖款,粉色 宽松,粉色,宽松,336.0,689.0,内衣,XXXL,2025-05-03 17:21:31,秋冬,棉
301,SPU072,SPU072-灰色-XXL,休闲裤新款,灰色 修身,灰色,修身,204.0,498.0,童装,XXL,2024-05-01 23:20:14,秋季,混纺
302,SPU072,SPU072-灰色-S,休闲裤新款,灰色 短款,灰色,短款,469.0,162.0,童装,S,2024-04-10 09:01:09,秋季,棉
303,SPU072,SPU072-灰色-M,休闲裤新款,灰色 修身,灰色,修身,134.0,514.0,童装,M,2024-07-16 19:09:59,秋季,棉
304,SPU072,SPU072-灰色-M,休闲裤新款,灰色 修身,灰色,修身,148.0,362.0,童装,M,2023-11-02 07:14:50,秋季,棉
305,SPU073,SPU073-蓝色-XL,短裤秋冬款,蓝色 宽松,蓝色,宽松,386.0,617.0,男装,XL,2024-04-13 17:27:47,春季,丝
306,SPU073,SPU073-蓝色-XS,短裤秋冬款,蓝色 加长,蓝色,加长,368.0,225.0,男装,XS,2024-07-03 04:01:27,春季,涤纶
307,SPU073,SPU073-蓝色-XXL,短裤秋冬款,蓝色 加长,蓝色,加长,152.0,232.0,男装,XXL,2024-09-17 21:57:08,春季,涤纶
308,SPU073,SPU073-蓝色-M,短裤秋冬款,蓝色 标准,蓝色,标准,167.0,408.0,男装,M,2024-04-01 23:21:30,春季,棉
309,SPU073,SPU073-蓝色-均码,短裤秋冬款,蓝色 标准,蓝色,标准,310.0,344.0,男装,均码,2024-05-30 11:22:26,春季,混纺
310,SPU074,SPU074-绿色-M,运动长裤春季款,绿色 修身,绿色,修身,477.0,510.0,运动,M,2025-04-13 15:38:28,秋冬,涤纶
311,SPU074,SPU074-绿色-L,运动长裤春季款,绿色 加长,绿色,加长,206.0,668.0,运动,L,2024-09-26 13:12:38,秋冬,丝
312,SPU074,SPU074-绿色-L,运动长裤春季款,绿色 标准,绿色,标准,365.0,453.0,运动,L,2024-11-19 16:21:40,秋冬,混纺
313,SPU074,SPU074-绿色-XL,运动长裤春季款,绿色 修身,绿色,修身,281.0,248.0,运动,XL,2025-04-23 10:41:34,秋冬,涤纶
314,SPU074,SPU074-绿色-均码,运动长裤春季款,绿色 标准,绿色,标准,64.0,181.0,运动,均码,2025-02-20 13:12:55,秋冬,混纺
315,SPU075,SPU075-白色-均码,短裤秋冬款,白色 宽松,白色,宽松,260.0,326.0,童装,均码,2023-11-22 16:13:38,春夏,羊毛
316,SPU075,SPU075-白色-XXXL,短裤秋冬款,白色 短款,白色,短款,456.0,326.0,童装,XXXL,2024-04-26 06:43:19,春夏,棉
317,SPU075,SPU075-白色-XXL,短裤秋冬款,白色 修身,白色,修身,121.0,433.0,童装,XXL,2024-12-27 12:26:32,春夏,丝
318,SPU075,SPU075-白色-S,短裤秋冬款,白色 宽松,白色,宽松,461.0,314.0,童装,S,2024-03-15 10:36:42,春夏,麻
319,SPU075,SPU075-白色-M,短裤秋冬款,白色 修身,白色,修身,248.0,532.0,童装,M,2024-07-05 03:43:12,春夏,羊毛
320,SPU076,SPU076-棕色-XXXL,跑步外套夏季款,棕色 加长,棕色,加长,263.0,271.0,运动,XXXL,2025-09-07 03:01:42,秋季,混纺
321,SPU076,SPU076-棕色-XXL,跑步外套夏季款,棕色 短款,棕色,短款,202.0,575.0,运动,XXL,2025-09-12 08:30:42,秋季,丝
322,SPU076,SPU076-棕色-XS,跑步外套夏季款,棕色 宽松,棕色,宽松,393.0,731.0,运动,XS,2024-10-31 04:06:27,秋季,羊毛
323,SPU076,SPU076-棕色-S,跑步外套夏季款,棕色 加长,棕色,加长,242.0,289.0,运动,S,2025-08-19 04:36:38,秋季,羊毛
324,SPU076,SPU076-棕色-XXXL,跑步外套夏季款,棕色 短款,棕色,短款,63.0,459.0,运动,XXXL,2024-09-12 14:24:13,秋季,丝
325,SPU077,SPU077-棕色-L,套头卫衣秋冬款,棕色 短款,棕色,短款,388.0,191.0,女装,L,2025-03-20 00:45:54,秋季,丝
326,SPU077,SPU077-棕色-XS,套头卫衣秋冬款,棕色 修身,棕色,修身,189.0,636.0,女装,XS,2024-12-05 06:31:50,秋季,丝
327,SPU077,SPU077-棕色-均码,套头卫衣秋冬款,棕色 加长,棕色,加长,124.0,101.0,女装,均码,2024-02-04 21:59:54,秋季,涤纶
328,SPU077,SPU077-棕色-L,套头卫衣秋冬款,棕色 宽松,棕色,宽松,186.0,156.0,女装,L,2025-04-09 01:26:52,秋季,涤纶
329,SPU077,SPU077-棕色-L,套头卫衣秋冬款,棕色 加长,棕色,加长,91.0,271.0,女装,L,2024-11-21 05:31:23,秋季,混纺
330,SPU078,SPU078-粉色-XS,连帽卫衣秋冬款,粉色 加长,粉色,加长,122.0,170.0,男装,XS,2024-01-19 18:49:30,秋季,羊毛
331,SPU078,SPU078-粉色-XXXL,连帽卫衣秋冬款,粉色 宽松,粉色,宽松,461.0,568.0,男装,XXXL,2024-11-16 17:42:17,秋季,麻
332,SPU078,SPU078-粉色-L,连帽卫衣秋冬款,粉色 修身,粉色,修身,224.0,323.0,男装,L,2024-12-22 16:40:45,秋季,涤纶
333,SPU078,SPU078-粉色-XXXL,连帽卫衣秋冬款,粉色 标准,粉色,标准,454.0,674.0,男装,XXXL,2024-05-19 05:37:46,秋季,混纺
334,SPU078,SPU078-粉色-XXXL,连帽卫衣秋冬款,粉色 短款,粉色,短款,227.0,150.0,男装,XXXL,2024-04-08 08:13:19,秋季,麻
335,SPU079,SPU079-棕色-XS,家居服夏季款,棕色 宽松,棕色,宽松,449.0,225.0,内衣,XS,2024-10-20 11:40:22,冬季,涤纶
336,SPU079,SPU079-棕色-XXL,家居服夏季款,棕色 标准,棕色,标准,203.0,676.0,内衣,XXL,2025-08-31 16:44:25,冬季,羊毛
337,SPU079,SPU079-棕色-XXXL,家居服夏季款,棕色 修身,棕色,修身,341.0,197.0,内衣,XXXL,2025-03-20 19:12:38,冬季,涤纶
338,SPU079,SPU079-棕色-XS,家居服夏季款,棕色 宽松,棕色,宽松,186.0,165.0,内衣,XS,2024-02-18 16:34:41,冬季,麻
339,SPU079,SPU079-棕色-M,家居服夏季款,棕色 加长,棕色,加长,118.0,318.0,内衣,M,2024-05-20 02:30:41,冬季,混纺
340,SPU080,SPU080-红色-XL,连帽卫衣夏季款,红色 加长,红色,加长,131.0,379.0,运动,XL,2025-03-28 12:13:04,秋冬,羊毛
341,SPU080,SPU080-红色-S,连帽卫衣夏季款,红色 加长,红色,加长,413.0,342.0,运动,S,2024-07-01 15:29:43,秋冬,混纺
342,SPU080,SPU080-红色-S,连帽卫衣夏季款,红色 加长,红色,加长,412.0,109.0,运动,S,2025-07-26 14:50:20,秋冬,丝
343,SPU080,SPU080-红色-M,连帽卫衣夏季款,红色 短款,红色,短款,278.0,580.0,运动,M,2025-01-03 11:45:37,秋冬,棉
344,SPU081,SPU081-橙色-XXXL,短袖T恤经典款,橙色 加长,橙色,加长,397.0,312.0,女装,XXXL,2024-01-29 14:04:03,夏季,丝
345,SPU081,SPU081-橙色-S,短袖T恤经典款,橙色 短款,橙色,短款,413.0,736.0,女装,S,2024-09-03 10:19:06,夏季,羊毛
346,SPU081,SPU081-橙色-XXL,短袖T恤经典款,橙色 加长,橙色,加长,370.0,691.0,女装,XXL,2025-02-19 21:38:11,夏季,丝
347,SPU081,SPU081-橙色-S,短袖T恤经典款,橙色 宽松,橙色,宽松,491.0,472.0,女装,S,2025-03-01 13:59:39,夏季,麻
348,SPU082,SPU082-黑色-M,牛仔裤夏季款,黑色 修身,黑色,修身,202.0,754.0,童装,M,2025-02-27 21:47:10,春季,羊毛
349,SPU082,SPU082-黑色-XL,牛仔裤夏季款,黑色 宽松,黑色,宽松,282.0,530.0,童装,XL,2025-01-15 18:35:02,春季,麻
350,SPU082,SPU082-黑色-XXXL,牛仔裤夏季款,黑色 修身,黑色,修身,259.0,128.0,童装,XXXL,2024-03-22 15:02:34,春季,麻
351,SPU082,SPU082-黑色-均码,牛仔裤夏季款,黑色 标准,黑色,标准,73.0,520.0,童装,均码,2025-01-12 21:37:32,春季,丝
352,SPU082,SPU082-黑色-XL,牛仔裤夏季款,黑色 加长,黑色,加长,202.0,307.0,童装,XL,2024-09-15 16:00:09,春季,棉
353,SPU083,SPU083-灰色-M,家居服新款,灰色 标准,灰色,标准,211.0,112.0,内衣,M,2025-05-13 09:56:10,秋季,丝
354,SPU083,SPU083-灰色-XL,家居服新款,灰色 修身,灰色,修身,318.0,350.0,内衣,XL,2024-11-02 15:34:54,秋季,棉
355,SPU083,SPU083-灰色-XXXL,家居服新款,灰色 宽松,灰色,宽松,129.0,474.0,内衣,XXXL,2025-08-16 12:08:45,秋季,涤纶
356,SPU083,SPU083-灰色-M,家居服新款,灰色 加长,灰色,加长,244.0,292.0,内衣,M,2024-01-01 15:18:08,秋季,麻
357,SPU083,SPU083-灰色-L,家居服新款,灰色 短款,灰色,短款,306.0,128.0,内衣,L,2025-08-18 14:15:30,秋季,丝
358,SPU084,SPU084-红色-M,套头卫衣秋冬款,红色 短款,红色,短款,490.0,546.0,男装,M,2025-03-31 06:03:31,夏季,棉
359,SPU084,SPU084-红色-XXXL,套头卫衣秋冬款,红色 短款,红色,短款,491.0,155.0,男装,XXXL,2025-02-01 17:51:07,夏季,混纺
360,SPU084,SPU084-红色-XL,套头卫衣秋冬款,红色 加长,红色,加长,230.0,229.0,男装,XL,2024-05-28 09:21:16,夏季,混纺
